47	19/02/2019 03:15	A	3	7.70	597.0	19-02-2019	GEZ0003S	170288	LOADER	SAMPLER	DRIVER
48	19/02/2019 08:15	B	2	7.69	611.0	19-02-2019	GEZ0005S	171060	LOADER	SAMPLER	DRIVER
49	19/02/2019 09:30	A	3	7.69	596.5	19-02-2019	GEZ0004S	171073	LOADER	SAMPLER	DRIVER
50	19/02/2019 11:30	B	2	7.69	611.1	19-02-2019	GEZ0001S	171090	LOADER	SAMPLER	DRIVER
51	19/02/2019 15:00	A	3	7.68	596.8	19-02-2019	GEZ0002S	171116	LOADER	SAMPLER	DRIVER
52	19/02/2019 18:15	A	3	7.67	596.5	19-02-2019	GEZ0005S	171060	LOADER	SAMPLER	DRIVER
53	19/02/2019 19:15	B	2	7.69	610.5	20-02-2019	GEZ0003S	170288	LOADER	SAMPLER	DRIVER
54	19/02/2019 22:15	A	3	7.68	595.9	20-02-2019	GEZ0004S	171073	LOADER	SAMPLER	DRIVER
55	20/02/2019 01:15	A	3	7.69	596.9	20-02-2019	GEZ0002S	171116	LOADER	SAMPLER	DRIVER
56	20/02/2019 02:45	A	3	7.68	595.9	20-02-2019	GEZ0005S	171060	LOADER	SAMPLER	DRIVER
57	20/02/2019 07:30	B	2	7.68	610.4	20-02-2019	GEZ0003S	171132	LOADER	SAMPLER	DRIVER
58	20/02/2019 10:15	A	3	7.67	596.6	20-02-2019	GEZ0002S	171116	LOADER	SAMPLER	DRIVER
59	20/02/2019 11:30	A	3	7.67	596.5	20-02-2019	GEZ0004S	171073	LOADER	SAMPLER	DRIVER
60	20/02/2019 14:00	B	2	7.68	610.8	20-02-2019	GEZ0005S	171060	LOADER	SAMPLER	DRIVER
61	20/02/2019 15:30	A	3	7.67	597.5	20-02-2019	GEZ0003S	171132	LOADER	SAMPLER	DRIVER
62	20/02/2019 19:15	A	3	7.66	595.9	21-02-2019	GEZ0002S	171116	LOADER	SAMPLER	DRIVER
63	20/02/2019 22:00	A	3	7.66	596.5	21-02-2019	GEZ0004S	171073	LOADER	SAMPLER	DRIVER
64	21/02/2019 02:15	A	3	7.67	596.1	21-02-2019	GEZ0003S	171132	LOADER	SAMPLER	DRIVER
