"Part Code","Desc 1","Desc 2","UK Good Stock 14/02/2022 19:01:22","Outstanding Order Qty 14/02/2022 19:01:44",Uom,"Annual Fcast",2022/02/19,2022/02/26,2022/03/05,2022/03/12,2022/03/19,2022/03/26,2022/04/02,2022/04/09,2022/04/16,2022/04/23,2022/04/30,2022/05/07,2022/05/14,2022/05/21,2022/05/28,2022/06/04,2022/06/11,2022/06/18,2022/06/25,2022/07/02,2022/07/09,2022/07/16,2022/07/23,2022/07/30,2022/08/06,2022/08/13,2022/08/20,2022/08/27,2022/09/03,2022/09/10,2022/09/17,2022/09/24,2022/10/01,2022/10/08,2022/10/15,2022/10/22,2022/10/29,2022/11/05,2022/11/12,2022/11/19,2022/11/26,2022/12/03,2022/12/10,2022/12/17,2022/12/24,2022/12/31,2023/01/07,2023/01/14,2023/01/21,2023/01/28,2023/02/04,2023/02/11,Redundant,2,"All Stock"
,,,,,,37193580.50000001,892546,892542.9,0,1186669.7,612821.2,613261.4,919069.3,751617.2,857829,551409,1164379.5,635658.8,1164107.9,613249.1,1103106.5,634434.3,980404.6,612732.2,980430.3,803507.9,1041707.2,551925.9,796540.7,732497.5,919145,674055.3,796565.4,361483.9,735590.1,122646.3,919479.4,54717.4,796548.1,797100,918677.5,479990.1,1041618.6,429277,980517.6,538399.3,796649.7,306569.5,796674.2,471423.2,735190.5,551821.1,919301.2,445074.3,612742.6,551879.7,735318.2,612677.2,N,1,0
H1000004,"Spring Water",Bulk,212560.57,39076500,KGS,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,212560.57
